TargetAreaPath,BugID,MarketLanguage,OriginalAreaPath,Branch,BuildNum,OpenedBy,OpenedDate,BinaryName,Uri,AppDisplay,AppName,Resolution,OriginalLanguageComment,EnglishTranslatedComment
Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,10460964,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,wpb_cxe_r1_exp_dev3,14072,nichy,4/17/2014 7:53,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Answers other: Facts  news  sports  etc.,Bing_Answers.server,480x800,你是谁？expecyed answer: Cortana. Proveded answer: Search tesult,You are the Who? expecyed answer: Cortana. Proveded answer: Search tesult
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10469561,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\SERP,wpb_cxe_r1_exp_dev3,14072,yuson,4/19/2014 10:01,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?QuerySource=HardwareBtnHold,Cortana Basic search relevance,Bing_HOSE.server,480x800,问 几点了 答 没设置闹钟 希望 告诉当前时间,Asked several answers didnt set my alarm hopes will suit the current time
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10479783,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,wpb_exp_realworld_fb4,12321,zhiwang,2/28/2014 13:16,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Answers: Places  directions and weather,Bing_IPE_ConversationalUnderstanding.server,768x1280,附近有什么好吃的东西吗？goes to web search ,Whats good in the vicinity Things? goes to web search
Windows Phone Blue\Experiences_DevPartners\Bing\CU\TTS,10485031,En-US,Windows Phone Blue\Experiences\RealWorld\Search,WPMain,12284,shasraj,1/18/2014 4:21,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistOOBE,Search,Searchcm.dll,480x800,Set my name but I couldnt hear it when I tapped on play. Then tried to record my name and nothing happened when I tap to speak,Set my name but I couldnt hear it when I tapped on play. Then tried to record my name and nothing happened when I tap to speak
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10512947,En-US,Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,wpb_exp_realworld,12343,jsking,3/20/2014 1:07,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?QuerySource=HardwareBtnHold,Cortana Answers: Places  directions and weather,Bing_IPE_ConversationalUnderstanding.server,480x800,LG issue. Walk should be walks.,LG issue. Walk should be walks.
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10513998,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_realworld_wallet,12252,diegoca,11/28/2013 20:18,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,480x800,Where the schedule or web links?,Where the schedule or web links?
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10514453,En-US,Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,wpb_exp_realworld_wallet,12315,lstifel,3/4/2014 21:33,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Answers: Places  directions and weather,Bing_IPE_ConversationalUnderstanding.server,480x800,Saves state of read top 3 when should not--find Italian restaurants  read top3  find home depot--auto reads top3,Saves state of read top 3 when should not--find Italian restaurants  read top3  find home depot--auto reads top3
Windows Phone Blue\Experiences\RealWorld\CortanaOOBE,10546183,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_dp_appfx_dev,12274,chigy,1/14/2014 3:42,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,1080x1920,Cortana circle is cutoff,Cortana circle is cutoff
Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,10559223,En-US,Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,wpb_exp_realworld,12292,slandry,1/27/2014 6:36,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Answers other: Facts  news  sports  etc.,Bing_Answers.server,480x800,When are the grammys on  returns an answer that claims to be relevant but isnt. Tapping the answer resulted in a very long delay to respond and simply restarted the Cortana app. ,When are the grammys on  returns an answer that claims to be relevant but isnt. Tapping the answer resulted in a very long delay to respond and simply restarted the Cortana app. 
Windows Phone Blue\Experiences_DevPartners\Bing\ProactiveExperiences,10560404,Zh-CN,Windows Phone Blue\Experiences\CoreX\Shell,wpb_cxe_r1_exp_dev3,14096,v-qibi,5/15/2014 5:32,starthost.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5602/Start,Start Host,Starthost.exe,480x800,[golden] holiday alert pops up too frequency;,[golden] holiday alert pops up too frequency;
Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\SERP,10593547,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_realworld,12284,fakarim,1/18/2014 22:10,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Proactive&SuggestionId=3e4dd745-6174-996d-a955-95db119ce02b&SuggestionType=InterestId,Search,Searchcm.dll,768x1280,Showing directions to home and asking me where my home is on the same page,Showing directions to home and asking me where my home is on the same page
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10627685,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,wpb_cxe_r1_exp_dev3,14067,hailmu,4/11/2014 1:45,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Answers: Places  directions and weather,Bing_IPE_ConversationalUnderstanding.server,480x800,answer irrelevant,answer irrelevant
Windows Phone Blue\Experiences_DevPartners\Bing\ProactiveExperiences,10643273,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_c4,12281,marubins,1/15/2014 8:22,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,768x1280,Doesnt show traffic on the way home at 6:51pm when I havent left work. Cortana should be smart enough to know I still need this information. ,Doesnt show traffic on the way home at 6:51pm when I havent left work. Cortana should be smart enough to know I still need this information. 
Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,10650557,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,wpb_cxe_r1_exp_dev3,14101,yqx,5/23/2014 7:47,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?QuerySource=HardwareBtnHold,Cortana Answers other: Facts  news  sports  etc.,Bing_Answers.server,480x800,今日要闻能正确回答几条新闻，但是今天要闻就返回了今日要闻的搜索结果，有些讽刺,Today Smell could correctly answer some news_ but todays news on todays news search results are returned_ somewhat ironic
Windows Phone Blue\Experiences_DevPartners\Bing\ProactiveExperiences,10675351,En-US,Windows Phone Blue\Experiences\RealWorld\ContextualAwareness,wpb_exp_realworld_wallet,12327,lstifel,3/11/2014 16:17,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Suggestions UX  Content  inferences,mffileavcapture.dll,480x800,I live in Palo alto and work in mt view but weather suggested is in Hayward,I live in Palo alto and work in mt view but weather suggested is in Hayward
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10692209,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,wpb_cxe_r1_exp_dev3,14077,chama,4/25/2014 3:18,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Proactive&QuerySource=LiveTile&SuggestionId=OOBE_Weather&SuggestionType=InterestId,Cortana Answers: Places  directions and weather,Bing_IPE_ConversationalUnderstanding.server,480x800,天气为什么不直接播报？,Weather Why dont you broadcast?
Windows Phone Blue\Experiences_DevPartners\Bing\ProactiveExperiences,10692886,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,wpb_cxe_r1_exp_dev3,14051,jianm,3/27/2014 23:48,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Answers other: Facts  news  sports  etc.,Bing_Answers.server,480x800,每日一览天天显示放假安排，没有必要，希望能看到一些会变化的内容。,Daily Overview display holiday schedule every day_ there is no need_ hope to see some changes in the content.
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LG,10699581,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_realworld_wallet,12239,lstifel,11/21/2013 1:48,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,480x800,Repro: Directions to Home Depot Bugs: 1. Screenprompt is blank  should say Which location do you want? 2. TTS readback should end with question - Which location do you want? 3. Should Auto-listen 4. Randomly plays cancel earcon in middle of readback,Repro: Directions to Home Depot Bugs: 1. Screenprompt is blank  should say Which location do you want? 2. TTS readback should end with question - Which location do you want? 3. Should Auto-listen 4. Randomly plays cancel earcon in middle of readback
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10700857,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_foundations,12243,jonwis,11/20/2013 3:19,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Proactive&SuggestionId=,Search,Searchcm.dll,480x800,where can I get good chili should probably return a list of local restaurants  not ones in austin,where can I get good chili should probably return a list of local restaurants  not ones in austin
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10711440,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,wpb_cxe_r1_exp_dev3,14077,xiaoyzhu,4/20/2014 23:46,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Proactive&QuerySource=LiveTile&SuggestionId=OOBE_Weather&SuggestionType=InterestId,Cortana Answers: Places  directions and weather,Bing_IPE_ConversationalUnderstanding.server,480x800,我问你是笨蛋吗 期望回答不是 实际回答天气预报,I Q you are Idiot  Expected answers are not actual answer weather forecast
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10712111,En-US,Windows Phone Blue\Experiences\RealWorld\VoiceAgents\LifeManagement,WPMain,12299,narad,2/1/2014 5:25,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Voice: Reminders  Calendar  Alarms  Notes,RW_Cortana_LiMa.client,480x800,Should say Ill remind you to do YOUR taxes when you get home instead of using the word MY that I spoke,Should say Ill remind you to do YOUR taxes when you get home instead of using the word MY that I spoke
Windows Phone Blue\Experiences\RealWorld\VoiceFramework,10716007,En-US,Windows Phone Blue\Experiences\RealWorld\VoiceFramework,wpb_exp_realworld,12336,daspieke,3/12/2014 19:05,MessagingApp.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5610/Default,Cortana Voice: Calling  Texting  Open app,RW_Cortana_Speech.client,480x800,I have spoken SMS always on- I said ignore to my incoming text and Cortana set up reply dialog.,I have spoken SMS always on- I said ignore to my incoming text and Cortana set up reply dialog.
Windows Phone Blue\Experiences_DevPartners\Bing\ProactiveExperiences,10725212,Zh-CN,Windows Phone Blue\Experiences\RealWorld\AssistantUI,wpb_cxe_r1_exp_dev3,14075,v-ruyuyu,4/21/2014 3:01,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Search UI,RW_Cortana_UI.client,480x800,image missing,image missing
Windows Phone Blue\Experiences_DevPartners\Bing\ProactiveExperiences,10727410,Zh-CN,Windows Phone Blue\Experiences\RealWorld\Search,wpb_cxe_r1_exp_dev3,14047,szhao,3/17/2014 8:10,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Other feedback,Websearch.exe,480x854,每日一词  cannot click to get more information,Daily Word cannot click to get more information
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10729454,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,wpb_cxe_r1_exp_dev3,14077,shsun,4/21/2014 15:46,starthost.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5602/Start,Cortana Answers: Places  directions and weather,Bing_IPE_ConversationalUnderstanding.server,480x800,问附近有哪些餐馆 答：一个非常远的餐馆 期望：附近的餐馆,What are near by restaurants A: a very Near restaurants Expectations: nearby dining Pavilion
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10733016,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,wpb_exp_realworld_fb4,12310,xkang,2/26/2014 18:00,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Answers: Places  directions and weather,Bing_IPE_ConversationalUnderstanding.server,480x800,最近的餐馆在哪儿failed and go to web  but ok for 饭店，书店，体育馆,Recent dining Pavilion where failed and go to Web but OK for restaurants_ bookstores_ sports centres
Windows Phone Blue\Experiences_DevPartners\Bing\ProactiveExperiences,10761688,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,wpb_cxe_r1_exp_dev3,14070,ggwu,4/23/2014 3:23,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Answers other: Facts  news  sports  etc.,Bing_Answers.server,480x800,holiday answer dup in my default cortana page,holiday answer dup in my default cortana page
Windows Phone Blue\Experiences\RealWorld\Search,10767297,En-US,Windows Phone Blue\Experiences\RealWorld\Search,WPMain,12278,zigs,1/15/2014 11:48,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/SearchResults?DefaultPivot=Device&QueryString=find emails from Alan Packer,Search,Searchcm.dll,768x1280,Cat 1 email search not triggering and Alan is in my contacts,Cat 1 email search not triggering and Alan is in my contacts
Windows Phone Blue\Experiences\RealWorld\Search,10770216,En-US,Windows Phone Blue\Experiences\RealWorld\Search,WPMain,12284,alavila,1/20/2014 7:34,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,768x1280,After cancelling the call  Cortana is stuck in this screen.,After cancelling the call  Cortana is stuck in this screen.
Windows Phone Blue\Experiences\RealWorld\VoiceAgents\LifeManagement,10775485,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_realworld_search,12228,jdeakins,11/4/2013 19:05,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,480x800,I asked Cortana where my meeting was. She very helpfully pulled up my calendar  but scrolled it down to my next  appointment. As it was only three minutes after my meeting started  it would be nice to have a grace period where it will still put my current meeting at the top  rather than the next meeting. ,I asked Cortana where my meeting was. She very helpfully pulled up my calendar  but scrolled it down to my next  appointment. As it was only three minutes after my meeting started  it would be nice to have a grace period where it will still put my current meeting at the top  rather than the next meeting. 
Windows Phone Blue\Experiences_DevPartners\Bing\ProactiveExperiences\SuggestionCanvas,10785909,En-US,Windows Phone Blue\Experiences\RealWorld\Search,WPMain,12263,brettp,12/14/2013 6:19,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Proactive&SuggestionId=0E00000003000300A6140000,Search,Searchcm.dll,768x1280,Got a message that gave more context now its gone.  No longer telling me what this is the route to,Got a message that gave more context now its gone.  No longer telling me what this is the route to
Windows Phone Blue\Experiences_DevPartners\Bing\ProactiveExperiences\SuggestionCanvas,10795083,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp,12252,shawnbro,12/5/2013 23:16,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,480x800,3x in a row  blank proactive canvas,3x in a row  blank proactive canvas
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10806455,En-US,Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,wpb_cxe_r1_exp_dev3,14082,pacrook,5/2/2014 2:34,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Proactive&QuerySource=LiveTile&SuggestionId={5db07089-490a-4250-ac7a-8c112991bc7c}&SuggestionType=InterestId,Cortana Answers: Places  directions and weather,Bing_IPE_ConversationalUnderstanding.server,480x800,Glasgow is not recognised,Glasgow is not recognised
Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,10817183,En-US,Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,wpb_mobilecore_drop_appfn_dev,12307,pavanh,2/12/2014 23:23,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Proactive&QuerySource=LiveTile,Cortana Answers other: Facts  news  sports  etc.,Bing_Answers.server,480x800,Asked Cortana what is the stock price of Starbucks? She sent me the location of the closest Starbucks.,Asked Cortana what is the stock price of Starbucks? She sent me the location of the closest Starbucks.
Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,10828827,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,wpb_cxe_r1_exp_dev3,14077,chengu,4/21/2014 2:23,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Proactive&QuerySource=LiveTile&SuggestionId=OOBE_Weather&SuggestionType=InterestId,Cortana Answers other: Facts  news  sports  etc.,Bing_Answers.server,480x800,告诉我北京小汽车摇号结果。给出了bing搜索结果。期望给出官网链接并询问是否跳转。,Sue Against my car lottery results. Gives Bing Search results. Expectations given the official website link and asks whether to jump.
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LG,10831165,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,wpb_exp_realworld_fb4,12294,yanqliu,2/10/2014 5:29,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Proactive&QuerySource=LiveTile,Cortana Answers other: Facts  news  sports  etc.,Bing_Answers.server,480x800,i say 本地音乐 reply seems lack some word after 可以,I say local voice  reply seems lack some Word after
Windows Phone Blue\Experiences\RealWorld\Search,10844101,En-US,Windows Phone Blue\Experiences\RealWorld\Search,WPMain,12298,wesbarc,2/2/2014 7:33,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,480x800,Cortana appears to be hung,Cortana appears to be hung
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10864851,Zh-CN,Windows Phone Blue\Experiences\RealWorld\VoiceFramework,wpb_cxe_r1_exp_dev3,14104,huluo,6/5/2014 0:27,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Voice: Calling  Texting  Open app,RW_Cortana_Speech.client,480x800,不支持设置呼叫转移,Does not support Set up call forwarding
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10894536,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,wpb_cxe_r1_exp_dev3,14060,xurao,4/8/2014 10:13,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Answers: Places  directions and weather,Bing_IPE_ConversationalUnderstanding.server,480x800,should be cat2，but go to web search,should be cat2，but go to web search
Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,10914581,En-US,Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,wpb_cxe_r1_exp_dev3,14091,v-anneg,5/7/2014 5:41,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Proactive&QuerySource=LiveTile&SuggestionId={96f231c4-bf0a-44ac-bcdc-7c21d7d09ce0}&SuggestionType=InterestId,Cortana Answers other: Facts  news  sports  etc.,Bing_Answers.server,768x1280,Not showing peek for answer on canvas (capital of Brazil),Not showing peek for answer on canvas (capital of Brazil)
Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\Cat3Answer,10917367,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\SERP,wpb_cxe_r1_exp_dev3,14070,zhel,4/29/2014 20:48,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Basic search relevance,Bing_HOSE.server,480x800,这个不应该去搜索吧 应该直接给从cortana answer，不是给bing的answer,This should not try to search Go straight to Cortana answer_ not  Bing s answer
Windows Phone Blue\Experiences\RealWorld\Search,10920318,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_c4,12239,marubins,11/14/2013 1:04,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,768x1280,[TopIssueParentId:175028] I said  Wheres the nearest Chipotle. Cortana heard  Wheres the nearest triple A (AAA),[TopIssueParentId:175028] I said  Wheres the nearest Chipotle. Cortana heard  Wheres the nearest triple A (AAA)
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10921035,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,wpb_exp_realworld_fb4,12324,pehuang,3/14/2014 15:48,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Proactive&QuerySource=LiveTile,Cortana Answers: Places  directions and weather,Bing_IPE_ConversationalUnderstanding.server,480x800,She gave me wrong citys weather. Im in 苏州,She gave me wrong citys weather. Im in Suzhou
